RestaurantID,CountryCode,Country,City,Cuisines,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Average_Cost_for_two,Rating,Datekey_Opening,Average Ratings,Price Range
18355112,1,India,Faridabad,"Burger, Fast Food",No,Yes,No,No,300,3.5,2012-11-26,3-3.99,201-400
309672,1,India,Faridabad,"Street Food, South Indian, Mithai",No,No,No,No,350,2.8,2017-11-21,2-2.99,201-400
8054,1,India,Faridabad,"Bakery, Desserts",No,No,No,No,100,3.1,2012-11-09,3-3.99,0-200
1413,1,India,Faridabad,"North Indian, Chinese",Yes,No,No,No,1000,2.7,2010-11-25,2-2.99,801-1000
1823,1,India,Faridabad,Mithai,No,No,No,No,100,2.9,2016-11-11,2-2.99,0-200
18458631,1,India,Faridabad,"North Indian, Chinese",No,No,No,No,500,3,2014-11-27,3-3.99,401-600
18382355,1,India,Faridabad,"Pizza, Fast Food",No,No,No,No,400,1,2013-11-27,1-1.99,201-400
312688,1,India,Faridabad,"Bakery, Desserts",No,No,No,No,800,1,2017-11-11,1-1.99,601-800
18446418,1,India,Faridabad,"North Indian, Mughlai",No,No,No,No,500,1,2010-11-06,1-1.99,401-600
301730,1,India,Faridabad,North Indian,No,No,No,No,150,2.8,2013-10-08,2-2.99,0-200
9299,1,India,Faridabad,Mithai,No,No,No,No,100,1,2012-10-20,1-1.99,0-200
9178,1,India,Faridabad,North Indian,No,No,No,No,100,1,2011-10-01,1-1.99,0-200
18433852,1,India,Faridabad,Cafe,No,No,No,No,300,1,2014-10-23,1-1.99,201-400
1804,1,India,Faridabad,"Chinese, Thai",No,Yes,No,No,1100,3.8,2012-10-06,3-3.99,1001-2000
304062,1,India,Faridabad,South Indian,No,No,No,No,200,1,2010-10-22,1-1.99,0-200
8169,1,India,Faridabad,Mithai,No,No,No,No,100,1,2014-10-12,1-1.99,0-200
6013,1,India,Faridabad,Cafe,No,No,No,No,500,3.2,2013-10-17,3-3.99,401-600
18258480,1,India,Faridabad,"North Indian, Mughlai, Chinese",Yes,Yes,No,No,800,3.3,2015-10-19,3-3.99,601-800
304006,1,India,Faridabad,Bakery,No,No,No,No,200,2.9,2017-10-25,2-2.99,0-200
1367,1,India,Faridabad,"North Indian, South Indian, Chinese, Fast Food, Mithai",No,No,No,No,400,3.4,2016-10-18,3-3.99,201-400
18138421,1,India,Faridabad,"Fast Food, Desserts, Ice Cream, Beverages",No,No,No,No,950,2.6,2017-10-02,2-2.99,801-1000
9814,1,India,Faridabad,"Raw Meats, North Indian, Fast Food",No,No,No,No,350,3.5,2011-10-26,3-3.99,201-400
18400756,1,India,Faridabad,"North Indian, Mughlai, Chinese",No,Yes,No,No,750,3.8,2017-10-16,3-3.99,601-800
18367316,1,India,Faridabad,"Cafe, Chinese",No,No,No,No,400,3.1,2016-10-20,3-3.99,201-400
8320,1,India,Faridabad,North Indian,No,No,No,No,400,2.7,2013-10-09,2-2.99,201-400
8308,1,India,Faridabad,Mithai,No,No,No,No,100,3.2,2018-10-05,3-3.99,0-200
18466980,1,India,Faridabad,North Indian,No,No,No,No,300,1,2013-10-13,1-1.99,201-400
18133473,1,India,Faridabad,"Fast Food, Chinese",No,No,No,No,200,2.9,2015-10-03,2-2.99,0-200
4462,1,India,Faridabad,"Bakery, Desserts",No,No,No,No,200,1,2013-10-15,1-1.99,0-200
1414,1,India,Faridabad,"Mithai, North Indian, South Indian, Chinese, Fast Food",No,Yes,No,No,400,2.7,2013-10-14,2-2.99,201-400
1715,1,India,Faridabad,"Raw Meats, Fast Food",No,No,No,No,400,3.1,2015-10-02,3-3.99,201-400
18237362,1,India,Faridabad,"Italian, Fast Food",No,No,No,No,550,2.9,2012-10-11,2-2.99,401-600
18472651,1,India,Faridabad,Fast Food,No,No,No,No,100,1,2010-10-16,1-1.99,0-200
6143,1,India,Faridabad,"Mithai, Bakery, Street Food, Chinese, South Indian",No,No,No,No,300,3,2015-10-10,3-3.99,201-400
18306531,1,India,Faridabad,North Indian,No,No,No,No,300,3.1,2015-10-04,3-3.99,201-400
122003,1,India,Chandigarh,"North Indian, Chinese, Continental, Pizza",No,Yes,Yes,No,850,3.7,2016-05-24,3-3.99,801-1000
70092,1,India,Chennai,"Italian, Mexican, Chinese, Thai, North Indian",Yes,Yes,No,No,1500,4,2018-09-25,4-4.99,1001-2000
70894,1,India,Chennai,"South Indian, Chettinad",Yes,No,No,No,1000,4.2,2013-09-12,4-4.99,801-1000
65413,1,India,Chennai,"North Indian, Mughlai, Chinese, South Indian",Yes,Yes,No,No,850,4.3,2014-09-15,4-4.99,801-1000
20002,1,India,Kolkata,Bengali,Yes,Yes,No,No,1000,4.4,2018-09-16,4-4.99,801-1000
21220,1,India,Kolkata,"North Indian, Continental",Yes,No,No,No,1500,3.9,2012-09-04,3-3.99,1001-2000
6508323,1,India,Pune,"North Indian, Asian",Yes,No,No,No,1500,4.5,2017-09-21,4-4.99,1001-2000
6505309,1,India,Pune,"Finger Food, Italian, Spanish, Greek",Yes,No,No,No,1000,4.1,2013-09-08,4-4.99,801-1000
18292672,1,India,Pune,"North Indian, Chinese, Continental",Yes,Yes,No,No,1500,4.2,2011-09-19,4-4.99,1001-2000
90499,1,India,Secunderabad,"Cafe, Continental",Yes,No,No,No,800,4.6,2013-09-03,4-4.99,601-800
18353121,1,India,Bangalore,"Asian, Mediterranean, North Indian",Yes,No,No,No,1200,4.4,2016-08-15,4-4.99,1001-2000
18443506,1,India,Hyderabad,"Seafood, Continental, Goan, Asian, Andhra",Yes,No,No,No,1500,3.8,2010-08-12,3-3.99,1001-2000
25587,1,India,Kolkata,"Tex-Mex, American",Yes,Yes,No,No,1800,4,2016-08-16,4-4.99,1001-2000
18441580,1,India,Mumbai,"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",Yes,No,No,No,1000,3.9,2016-08-24,3-3.99,801-1000
96626,1,India,Hyderabad,"North Indian, Japanese, Italian",Yes,No,No,No,1900,4.3,2018-07-28,4-4.99,1001-2000
6507461,1,India,Pune,"Continental, North Indian, Italian",Yes,No,No,No,1200,4.2,2011-07-04,4-4.99,1001-2000
6507495,1,India,Pune,Finger Food,Yes,No,No,No,1000,4.1,2016-07-11,4-4.99,801-1000
69024,1,India,Chennai,"European, Italian, Desserts",Yes,Yes,No,No,800,4.2,2018-06-11,4-4.99,601-800
72475,1,India,Chennai,"North Indian, Chinese, Arabian",Yes,Yes,No,No,800,3.8,2010-06-26,3-3.99,601-800
